SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20191210,36467W109,GME,238740.0,GAMESTOP CORP (HLDG CO) CL A,6.33
20191211,36467W109,GME,447.0,GAMESTOP CORP (HLDG CO) CL A,6.51
20191212,36467W109,GME,52954.0,GAMESTOP CORP (HLDG CO) CL A,5.53
20191213,36467W109,GME,60012.0,GAMESTOP CORP (HLDG CO) CL A,5.58
20191217,36467W109,GME,99965.0,GAMESTOP CORP (HLDG CO) CL A,5.50
20191218,36467W109,GME,54647.0,GAMESTOP CORP (HLDG CO) CL A,6.06
20191219,36467W109,GME,133995.0,GAMESTOP CORP (HLDG CO) CL A,6.16
20191220,36467W109,GME,87181.0,GAMESTOP CORP (HLDG CO) CL A,6.06
20191223,36467W109,GME,208067.0,GAMESTOP CORP (HLDG CO) CL A,5.99
20191224,36467W109,GME,23969.0,GAMESTOP CORP (HLDG CO) CL A,5.61
20191226,36467W109,GME,452960.0,GAMESTOP CORP (HLDG CO) CL A,5.44
20191227,36467W109,GME,2689.0,GAMESTOP CORP (HLDG CO) CL A,5.40
20191230,36467W109,GME,157427.0,GAMESTOP CORP (HLDG CO) CL A,5.90
20191231,36467W109,GME,1238910.0,GAMESTOP CORP (HLDG CO) CL A,6.13
20200102,36467W109,GME,10609.0,GAMESTOP CORP (HLDG CO) CL A,6.08
20200103,36467W109,GME,28692.0,GAMESTOP CORP (HLDG CO) CL A,6.31
20200106,36467W109,GME,28665.0,GAMESTOP CORP (HLDG CO) CL A,5.88
20200108,36467W109,GME,7039.0,GAMESTOP CORP (HLDG CO) CL A,5.52
20200109,36467W109,GME,347.0,GAMESTOP CORP (HLDG CO) CL A,5.72
20200110,36467W109,GME,106775.0,GAMESTOP CORP (HLDG CO) CL A,5.55
20200113,36467W109,GME,77088.0,GAMESTOP CORP (HLDG CO) CL A,5.43
20200114,36467W109,GME,18335.0,GAMESTOP CORP (HLDG CO) CL A,5.43
20200115,36467W109,GME,9173.0,GAMESTOP CORP (HLDG CO) CL A,4.71
20200121,36467W109,GME,4721.0,GAMESTOP CORP (HLDG CO) CL A,4.75
20200122,36467W109,GME,4201.0,GAMESTOP CORP (HLDG CO) CL A,4.59
20200123,36467W109,GME,31185.0,GAMESTOP CORP (HLDG CO) CL A,4.56
20200124,36467W109,GME,1411.0,GAMESTOP CORP (HLDG CO) CL A,4.62
20200127,36467W109,GME,500.0,GAMESTOP CORP (HLDG CO) CL A,4.32
20200128,36467W109,GME,84562.0,GAMESTOP CORP (HLDG CO) CL A,4.28
20200129,36467W109,GME,12336.0,GAMESTOP CORP (HLDG CO) CL A,4.21
20200130,36467W109,GME,499.0,GAMESTOP CORP (HLDG CO) CL A,4.13
20200131,36467W109,GME,2912.0,GAMESTOP CORP (HLDG CO) CL A,3.93
20200501,36467W109,GME,1380982.0,GAMESTOP CORP (HLDG CO) CL A,5.73
20200504,36467W109,GME,736380.0,GAMESTOP CORP (HLDG CO) CL A,6.05
20200505,36467W109,GME,504194.0,GAMESTOP CORP (HLDG CO) CL A,5.48
20200506,36467W109,GME,187405.0,GAMESTOP CORP (HLDG CO) CL A,5.39
20200507,36467W109,GME,86625.0,GAMESTOP CORP (HLDG CO) CL A,4.93
20200508,36467W109,GME,268379.0,GAMESTOP CORP (HLDG CO) CL A,4.87
20200511,36467W109,GME,48151.0,GAMESTOP CORP (HLDG CO) CL A,4.98
20200512,36467W109,GME,66174.0,GAMESTOP CORP (HLDG CO) CL A,4.76
20200513,36467W109,GME,5934.0,GAMESTOP CORP (HLDG CO) CL A,4.54
20200514,36467W109,GME,28918.0,GAMESTOP CORP (HLDG CO) CL A,4.21
20200515,36467W109,GME,21080.0,GAMESTOP CORP (HLDG CO) CL A,4.13
20200518,36467W109,GME,20109.0,GAMESTOP CORP (HLDG CO) CL A,4.22
20200519,36467W109,GME,134.0,GAMESTOP CORP (HLDG CO) CL A,4.58
20200520,36467W109,GME,73678.0,GAMESTOP CORP (HLDG CO) CL A,4.44
20200521,36467W109,GME,6728.0,GAMESTOP CORP (HLDG CO) CL A,4.43
20200522,36467W109,GME,17338.0,GAMESTOP CORP (HLDG CO) CL A,4.44
20200526,36467W109,GME,21599.0,GAMESTOP CORP (HLDG CO) CL A,4.18
20200527,36467W109,GME,13674.0,GAMESTOP CORP (HLDG CO) CL A,4.42
20200528,36467W109,GME,9831.0,GAMESTOP CORP (HLDG CO) CL A,4.69
20200529,36467W109,GME,8186.0,GAMESTOP CORP (HLDG CO) CL A,4.33
