Date,Close/Last,Volume,Open,High,Low
12/15/2023,$4.626,12133,$4.786,$5.48,$4.602
12/14/2023,$5.002,63877,$4.70,$5.198,$4.242
12/13/2023,$4.558,2686,$4.506,$4.56,$4.228
12/12/2023,$4.30,7587,$5.07,$5.10,$4.226
12/11/2023,$4.622,2477,$4.962,$4.962,$4.60
12/08/2023,$4.80,4011,$5.08,$5.10,$4.60
12/07/2023,$4.998,2316,$4.914,$5.182,$4.634
12/06/2023,$4.8679,2683,$5.002,$5.194,$4.80
12/05/2023,$5.07,8643,$5.37,$5.40,$4.822
12/04/2023,$5.25,2473,$5.20,$6.23,$5.19
12/01/2023,$5.304,3603,$5.392,$5.58,$5.20
11/30/2023,$5.444,18378,$5.80,$6.092,$5.00
11/29/2023,$5.66,7887,$6.418,$6.418,$5.60
11/28/2023,$6.508,18400,$5.106,$6.508,$5.00
11/27/2023,$5.06,19134,$4.922,$5.60,$4.922
11/24/2023,$5.08,4893,$5.30,$5.30,$4.842
11/22/2023,$5.20,6612,$5.33,$5.498,$5.002
11/21/2023,$5.3195,16705,$5.374,$5.8069,$5.284
11/20/2023,$5.54,57117,$7.584,$7.584,$5.22
11/17/2023,$8.00,445603,$5.16,$10.20,$5.022
11/16/2023,$5.40,6005,$5.332,$5.40,$5.002
11/15/2023,$5.496,24453,$4.80,$5.76,$4.64
11/14/2023,$4.624,16815,$4.248,$4.758,$4.248
11/13/2023,$4.33,23521,$4.276,$4.76,$4.22
11/10/2023,$4.50,33508,$4.232,$4.90,$4.14
11/09/2023,$4.87,382069,$4.602,$5.32,$4.008
11/08/2023,$4.10,8261,$4.396,$4.398,$3.878
11/07/2023,$4.44,7837,$4.598,$4.598,$4.07
11/06/2023,$4.508,7499,$4.716,$4.716,$4.4002
11/03/2023,$4.57,20234,$4.768,$4.99,$4.57
11/02/2023,$4.32,18319,$4.304,$4.80,$4.302
11/01/2023,$4.20,5330,$4.526,$4.526,$4.12
10/31/2023,$4.252,5829,$4.268,$4.578,$4.202
10/30/2023,$4.40,11816,$4.28,$4.60,$4.044
10/27/2023,$4.64,14584,$4.932,$4.932,$4.50
10/26/2023,$4.998,17012,$5.40,$5.48,$4.794
10/25/2023,$5.698,11394,$5.626,$5.78,$5.292
10/24/2023,$5.80,30797,$6.20,$6.20,$5.202
10/23/2023,$6.136,64968,$6.51,$6.51,$5.222
10/20/2023,$6.60,96031,$8.00,$8.00,$6.20
10/19/2023,$8.40,1064195,$13.954,$16.996,$8.00
10/18/2023,$10.90,168690,$10.20,$11.40,$10.00
10/17/2023,$10.216,14821,$11.31,$12.40,$10.00
10/16/2023,$11.144,11138,$11.538,$12.50,$10.22
10/13/2023,$10.22,286,$10.40,$11.00,$10.20
10/12/2023,$10.40,944,$11.998,$11.998,$10.40
10/11/2023,$10.26,601,$12.20,$12.882,$10.26
10/10/2023,$11.946,908,$11.60,$16.00,$11.60
10/09/2023,$11.60,582,$11.20,$12.00,$11.00
10/06/2023,$11.00,503,$11.202,$12.64,$11.00
10/05/2023,$10.998,487,$11.55,$11.55,$10.234
10/04/2023,$11.00,1114,$11.378,$11.852,$10.602
10/03/2023,$11.20,1774,$12.80,$12.80,$11.20
10/02/2023,$13.2202,2158,$17.20,$17.20,$13.032
09/29/2023,$15.00,13632,$17.184,$17.566,$15.00
09/28/2023,$16.80,523,$18.086,$18.202,$16.50
09/27/2023,$17.52,191,$18.80,$18.80,$17.03
09/26/2023,$17.878,1412,$18.60,$19.00,$17.20
09/25/2023,$18.004,861,$20.00,$20.102,$18.004
09/22/2023,$18.40,953,$19.60,$19.60,$17.82
09/21/2023,$19.00,3892,$20.60,$20.60,$17.604
09/20/2023,$19.80,2305,$20.40,$23.634,$19.80
09/19/2023,$19.60,1228,$22.20,$22.20,$19.202
09/18/2023,$22.00,392,$25.40,$25.40,$22.00
09/15/2023,$22.10,2233,$26.80,$26.80,$21.40
09/14/2023,$26.00,1210,$29.20,$29.20,$24.802
09/13/2023,$26.60,539,$26.00,$28.198,$26.00
09/12/2023,$26.60,2897,$28.40,$29.80,$26.40
09/11/2023,$28.00,9647,$28.00,$29.40,$27.00
09/08/2023,$27.20,3361,$31.80,$32.00,$26.40
09/07/2023,$28.40,5551,$31.20,$33.00,$28.40
09/06/2023,$29.80,1147,$30.00,$31.10,$28.49
09/05/2023,$30.00,963,$33.40,$33.80,$28.60
09/01/2023,$33.60,1034,$36.00,$36.40,$33.42
08/31/2023,$36.872,1047,$38.80,$39.60,$36.212
08/30/2023,$38.00,20722,$35.00,$39.20,$34.00
08/29/2023,$35.20,7614,$34.80,$37.00,$33.572
08/28/2023,$32.40,14253,$33.60,$38.40,$29.802
08/25/2023,$30.00,8338,$30.40,$32.00,$28.80
08/24/2023,$28.80,12960,$39.00,$39.80,$27.42
08/23/2023,$33.80,1726,$32.00,$33.80,$32.00
08/22/2023,$30.40,398,$30.80,$31.586,$30.40
08/21/2023,$30.00,520,$30.00,$30.212,$30.00
08/18/2023,$30.00,1309,$28.40,$30.20,$28.40
08/17/2023,$27.80,528,$29.00,$30.80,$27.60
08/16/2023,$28.20,575,$29.60,$30.00,$27.60
08/15/2023,$28.50,5246,$27.00,$28.80,$27.00
08/14/2023,$27.00,1537,$29.00,$30.10,$26.002
08/11/2023,$29.60,1508,$31.00,$31.20,$29.60
08/10/2023,$30.00,3494,$28.40,$34.20,$28.40
08/09/2023,$29.80,1335,$28.40,$31.00,$26.00
08/08/2023,$26.80,497,$29.00,$30.60,$26.20
