Date,Close/Last,Volume,Open,High,Low
11/15/2023,$2.95,34081,$2.86,$3.07,$2.834
11/14/2023,$2.7615,283837,$2.67,$3.30,$2.6699
11/13/2023,$2.6701,7248,$2.69,$2.69,$2.66
11/10/2023,$2.72,2889,$2.70,$2.795,$2.70
11/09/2023,$2.70,4710,$2.80,$2.93,$2.69
11/08/2023,$2.87,6536,$2.90,$2.90,$2.8699
11/07/2023,$2.88,3185,$2.90,$2.9398,$2.87
11/06/2023,$2.86,4250,$2.9123,$2.9123,$2.86
11/03/2023,$2.88,10593,$2.90,$2.94,$2.86
11/02/2023,$2.89,8151,$2.90,$2.90,$2.8189
11/01/2023,$2.82,6921,$2.89,$2.89,$2.80
10/31/2023,$2.87,16316,$2.74,$2.895,$2.71
10/30/2023,$2.68,2897,$2.74,$2.74,$2.68
10/27/2023,$2.72,11524,$2.66,$2.7895,$2.6361
10/26/2023,$2.66,9627,$2.70,$2.73,$2.66
10/25/2023,$2.79,13044,$2.77,$2.79,$2.6987
10/24/2023,$2.73,23219,$2.75,$2.8599,$2.7244
10/23/2023,$2.78,6499,$2.92,$2.92,$2.7786
10/20/2023,$2.87,3476,$2.7969,$2.875,$2.7969
10/19/2023,$2.87,8436,$3.00,$3.02,$2.87
10/18/2023,$3.00,16383,$2.94,$3.0658,$2.94
10/17/2023,$3.00,10844,$2.945,$3.0792,$2.92
10/16/2023,$2.90,11303,$2.76,$3.00,$2.76
10/13/2023,$2.82,6253,$2.86,$2.86,$2.75
10/12/2023,$2.8113,8909,$2.94,$2.94,$2.77
10/11/2023,$2.83,10322,$2.94,$2.94,$2.81
10/10/2023,$2.83,5599,$2.87,$2.87,$2.7701
10/09/2023,$2.80,7298,$2.88,$2.88,$2.80
10/06/2023,$2.9002,11810,$2.89,$2.95,$2.89
10/05/2023,$2.91,9999,$2.8447,$2.93,$2.8447
10/04/2023,$2.87,10780,$2.89,$2.9274,$2.8271
10/03/2023,$2.89,4363,$3.032,$3.032,$2.865
10/02/2023,$2.94,6864,$3.04,$3.09,$2.94
09/29/2023,$2.9614,5150,$3.15,$3.15,$2.9614
09/28/2023,$3.01,15755,$3.005,$3.0999,$2.98
09/27/2023,$3.01,50772,$3.00,$3.14,$2.9801
09/26/2023,$2.968,4991,$2.96,$2.9974,$2.8801
09/25/2023,$3.00,19246,$2.97,$3.07,$2.8153
09/22/2023,$2.97,15455,$3.05,$3.1302,$2.97
09/21/2023,$3.05,7249,$3.08,$3.17,$3.05
09/20/2023,$3.12,7642,$3.10,$3.1699,$3.10
09/19/2023,$3.125,22929,$3.33,$3.49,$3.10
09/18/2023,$3.24,15415,$3.37,$3.37,$3.22
09/15/2023,$3.32,21993,$3.46,$3.475,$3.32
09/14/2023,$3.46,16035,$3.52,$3.5681,$3.40
09/13/2023,$3.47,18406,$3.46,$3.64,$3.41
09/12/2023,$3.48,11329,$3.59,$3.59,$3.48
09/11/2023,$3.60,5752,$3.65,$3.69,$3.56
09/08/2023,$3.65,14384,$3.62,$3.69,$3.58
09/07/2023,$3.69,12788,$3.60,$3.7399,$3.4848
09/06/2023,$3.60,13834,$3.75,$3.75,$3.48
09/05/2023,$3.705,5459,$3.64,$3.745,$3.5501
09/01/2023,$3.64,10417,$3.64,$3.69,$3.601
08/31/2023,$3.6295,17376,$3.60,$3.73,$3.5501
08/30/2023,$3.59,37999,$3.6899,$3.7494,$3.5001
08/29/2023,$3.54,14863,$3.46,$3.6299,$3.46
08/28/2023,$3.49,7532,$3.43,$3.56,$3.43
08/25/2023,$3.48,30306,$3.43,$3.67,$3.43
08/24/2023,$3.50,21384,$3.46,$3.54,$3.4118
08/23/2023,$3.52,10187,$3.5184,$3.525,$3.4503
08/22/2023,$3.55,38191,$3.66,$3.7494,$3.52
08/21/2023,$3.65,13965,$3.73,$3.73,$3.6401
08/18/2023,$3.72,6308,$3.80,$3.80,$3.64
08/17/2023,$3.76,20327,$3.76,$3.83,$3.651
08/16/2023,$3.84,10544,$3.80,$3.85,$3.7704
08/15/2023,$3.85,12799,$3.902,$3.902,$3.76
08/14/2023,$3.85,26548,$3.81,$3.92,$3.77
08/11/2023,$3.89,21173,$3.96,$3.96,$3.86
08/10/2023,$3.99,21387,$4.06,$4.07,$3.94
08/09/2023,$3.97,52625,$4.06,$4.19,$3.92
08/08/2023,$4.14,37438,$4.07,$4.20,$3.98
08/07/2023,$4.14,66573,$4.16,$4.18,$4.04
08/04/2023,$4.14,13775,$4.23,$4.23,$4.10
08/03/2023,$4.21,25625,$4.149,$4.24,$4.07
08/02/2023,$4.20,50477,$4.19,$4.21,$4.01
08/01/2023,$4.23,46502,$4.20,$4.23,$4.07
07/31/2023,$4.14,85992,$4.15,$4.24,$4.07
07/28/2023,$3.99,76331,$4.02,$4.17,$3.921
07/27/2023,$4.10,172042,$4.34,$4.51,$4.05
07/26/2023,$4.45,236076,$4.02,$4.66,$3.9601
07/25/2023,$4.00,168948,$4.10,$4.16,$3.88
07/24/2023,$4.25,4142195,$4.13,$4.52,$3.86
07/21/2023,$3.61,101385,$3.6352,$3.69,$3.6032
07/20/2023,$3.665,21237,$3.83,$3.83,$3.50
07/19/2023,$3.84,15899,$3.86,$3.8747,$3.81
07/18/2023,$3.78,15746,$3.75,$3.8398,$3.72
07/17/2023,$3.70,16898,$3.60,$3.71,$3.59
07/14/2023,$3.66,10923,$3.66,$3.729,$3.64
07/13/2023,$3.69,16165,$3.70,$3.725,$3.6001
07/12/2023,$3.65,15933,$3.66,$3.70,$3.64
07/11/2023,$3.66,10824,$3.73,$3.73,$3.6001
07/10/2023,$3.58,9886,$3.575,$3.76,$3.575
07/07/2023,$3.59,6422,$3.56,$3.6499,$3.5427
07/06/2023,$3.51,21721,$3.62,$3.62,$3.37
07/05/2023,$3.64,10447,$3.71,$3.72,$3.60
07/03/2023,$3.71,2907,$3.70,$3.7683,$3.6967
06/30/2023,$3.70,18127,$3.66,$3.75,$3.60
06/29/2023,$3.59,24824,$3.55,$3.73,$3.55
06/28/2023,$3.58,23892,$3.51,$3.6167,$3.51
06/27/2023,$3.56,9664,$3.51,$3.60,$3.47
06/26/2023,$3.56,21797,$3.59,$3.648,$3.45
06/23/2023,$3.56,14568,$3.67,$3.67,$3.52
06/22/2023,$3.70,11037,$3.85,$3.85,$3.65
06/21/2023,$3.72,16239,$3.75,$3.78,$3.68
06/20/2023,$3.75,77475,$3.83,$3.99,$3.71
06/16/2023,$3.73,40316,$3.70,$3.75,$3.6535
06/15/2023,$3.78,41616,$3.78,$3.868,$3.70
06/14/2023,$3.78,27768,$3.97,$3.99,$3.7517
06/13/2023,$3.91,20273,$3.83,$4.00,$3.83
06/12/2023,$3.85,14123,$3.85,$3.85,$3.72
06/09/2023,$3.75,16576,$3.80,$3.80,$3.732
06/08/2023,$3.83,17544,$3.9394,$3.9394,$3.70
06/07/2023,$3.94,16790,$3.85,$4.00,$3.85
06/06/2023,$3.82,11408,$3.85,$3.9075,$3.80
06/05/2023,$3.80,11272,$3.88,$3.9101,$3.80
06/02/2023,$3.92,17675,$3.9197,$4.00,$3.90
06/01/2023,$3.8657,26969,$3.80,$3.925,$3.7701
05/31/2023,$3.85,14023,$3.86,$3.9799,$3.78
05/30/2023,$3.925,19539,$3.93,$4.0045,$3.8001
05/26/2023,$3.97,20875,$4.059,$4.06,$3.95
05/25/2023,$4.00,20796,$4.08,$4.1325,$3.95
05/24/2023,$4.08,28369,$4.14,$4.20,$3.95
05/23/2023,$4.14,49484,$3.95,$4.21,$3.95
05/22/2023,$3.9919,41839,$3.86,$4.08,$3.86
05/19/2023,$3.95,22499,$3.8075,$3.9675,$3.8075
05/18/2023,$3.80,16569,$3.762,$3.85,$3.73
05/17/2023,$3.78,26065,$3.79,$3.80,$3.711
05/16/2023,$3.7601,33104,$3.84,$4.00,$3.73
05/15/2023,$3.785,17595,$3.856,$3.90,$3.75
05/12/2023,$3.80,9868,$3.82,$3.93,$3.80
05/11/2023,$3.8825,16998,$3.97,$4.00,$3.88
05/10/2023,$3.92,19796,$3.99,$4.0381,$3.90
05/09/2023,$3.9501,7155,$3.91,$4.00,$3.91
05/08/2023,$3.97,12506,$3.92,$4.07,$3.92
05/05/2023,$3.9304,17846,$3.92,$4.12,$3.92
05/04/2023,$3.97,8839,$4.10,$4.1001,$3.9401
